Site,Collection,Trap.date,Country,Jul_day,Species,Count,Species_occ
164440,1,16/06/2015,Scotland,167,Acutipula.fulvipennis,0,0
164440,1,16/06/2015,Scotland,167,Acutipula.luna,0,0
164440,1,16/06/2015,Scotland,167,Austrolimnophila.ochracea,0,0
164440,1,16/06/2015,Scotland,167,Beringotipula.unca,0,0
164440,1,16/06/2015,Scotland,167,Cheilotrichia.cinerascens,0,0
164440,1,16/06/2015,Scotland,167,Ctenophora.pectinicornis,0,0
164440,1,16/06/2015,Scotland,167,Cylindrotoma.distinctissima,0,0
164440,1,16/06/2015,Scotland,167,Dicranomyia.autumnalis,0,0
164440,1,16/06/2015,Scotland,167,Dicranomyia.modesta,0,0
164440,1,16/06/2015,Scotland,167,Dicranophragma.nemorale,0,0
164440,1,16/06/2015,Scotland,167,Dicranota.claripennis,0,0
164440,1,16/06/2015,Scotland,167,Dictenidia.bimaculata,0,0
164440,1,16/06/2015,Scotland,167,Diogma.glabrata,0,0
164440,1,16/06/2015,Scotland,167,Discobola.annulata,0,0
164440,1,16/06/2015,Scotland,167,Eloeophila.verralli,0,0
164440,1,16/06/2015,Scotland,167,Epiphragma.ocellare,0,0
164440,1,16/06/2015,Scotland,167,Erioconopa.trivialis,0,0
164440,1,16/06/2015,Scotland,167,Erioptera.fuscipennis,0,0
164440,1,16/06/2015,Scotland,167,Erioptera.lutea,0,0
164440,1,16/06/2015,Scotland,167,Euphylidorea.dispar,0,0
164440,1,16/06/2015,Scotland,167,Euphylidorea.lineola,0,0
164440,1,16/06/2015,Scotland,167,Euphylidorea.meigenii,0,0
164440,1,16/06/2015,Scotland,167,Gonomyia.abscondita,0,0
164440,1,16/06/2015,Scotland,167,Gonomyia.conoviensis,0,0
164440,1,16/06/2015,Scotland,167,Gonomyia.lucidula,0,0
164440,1,16/06/2015,Scotland,167,Gonomyia.recta,0,0
164440,1,16/06/2015,Scotland,167,Gonomyia.sp,0,0
164440,1,16/06/2015,Scotland,167,Helius.flavus,0,0
164440,1,16/06/2015,Scotland,167,Helius.longirostris,0,0
164440,1,16/06/2015,Scotland,167,Ilisia.maculata,0,0
164440,1,16/06/2015,Scotland,167,Ilisia.occoecata,0,0
164440,1,16/06/2015,Scotland,167,Limonia.dilutior,0,0
164440,1,16/06/2015,Scotland,167,Limonia.flavipes,7,1
164440,1,16/06/2015,Scotland,167,Limonia.macrostigma,0,0
164440,1,16/06/2015,Scotland,167,Limonia.nigropunctata,0,0
164440,1,16/06/2015,Scotland,167,Limonia.nubeculosa,0,0
164440,1,16/06/2015,Scotland,167,Limonia.phragmitidis,0,0
164440,1,16/06/2015,Scotland,167,Limonia.stigma,0,0
164440,1,16/06/2015,Scotland,167,Limonia.trivittata,0,0
164440,1,16/06/2015,Scotland,167,Lipsothrix.remota,0,0
164440,1,16/06/2015,Scotland,167,Lunatipula.fascipennis,0,0
164440,1,16/06/2015,Scotland,167,Lunatipula.helvola,0,0
164440,1,16/06/2015,Scotland,167,Lunatipula.livida,0,0
164440,1,16/06/2015,Scotland,167,Lunatipula.lunata,0,0
