,ID,Species,Count,Order,Source,Type,no_traps,stemDensityHA,dbhMean,dbhSD
1,182014,Abax.parallelepipedus,71,Coleoptera,WrEN,PL,9,1531,14.2,4.9
2,182014,Acidota.cruentata,NA,Coleoptera,WrEN,PL,9,1531,14.2,4.9
3,182014,Agabus.didymus,NA,Coleoptera,WrEN,PL,9,1531,14.2,4.9
4,182014,Agonum.emarginatum,0,Coleoptera,WrEN,PL,9,1531,14.2,4.9
5,182014,Agonum.fuliginosum,0,Coleoptera,WrEN,PL,9,1531,14.2,4.9
6,182014,Agonum.gracile,0,Coleoptera,WrEN,PL,9,1531,14.2,4.9
7,182014,Agonum.micans,0,Coleoptera,WrEN,PL,9,1531,14.2,4.9
8,182014,Agriotes.lineatus,NA,Coleoptera,WrEN,PL,9,1531,14.2,4.9
9,182014,Agriotes.obscurus,NA,Coleoptera,WrEN,PL,9,1531,14.2,4.9
10,182014,Agriotes.pallidulus,NA,Coleoptera,WrEN,PL,9,1531,14.2,4.9
11,182014,Agriotes.sputator,0,Coleoptera,WrEN,PL,9,1531,14.2,4.9
12,182014,Aleocharinae,1,Coleoptera,WrEN,PL,9,1531,14.2,4.9
13,182014,Amara.communis,0,Coleoptera,WrEN,PL,9,1531,14.2,4.9
14,182014,Amara.eurynota,0,Coleoptera,WrEN,PL,9,1531,14.2,4.9
15,182014,Amara.familiaris,0,Coleoptera,WrEN,PL,9,1531,14.2,4.9
16,182014,Amara.similata,0,Coleoptera,WrEN,PL,9,1531,14.2,4.9
17,182014,Anchomenus.dorsalis,0,Coleoptera,WrEN,PL,9,1531,14.2,4.9
18,182014,Anotylus.inustus,0,Coleoptera,WrEN,PL,9,1531,14.2,4.9
19,182014,Anotylus.rugosus,0,Coleoptera,WrEN,PL,9,1531,14.2,4.9
20,182014,Anotylus.sculpturatus,1,Coleoptera,WrEN,PL,9,1531,14.2,4.9
21,182014,Aphodius.depressus,NA,Coleoptera,WrEN,PL,9,1531,14.2,4.9
22,182014,Aphodius.fimetarius,NA,Coleoptera,WrEN,PL,9,1531,14.2,4.9
23,182014,Aphodius.rufipes,0,Coleoptera,WrEN,PL,9,1531,14.2,4.9
24,182014,Athous.haemorrhoidalis,0,Coleoptera,WrEN,PL,9,1531,14.2,4.9
25,182014,Badister.bullatus,0,Coleoptera,WrEN,PL,9,1531,14.2,4.9
26,182014,Bembidion.aeneum,0,Coleoptera,WrEN,PL,9,1531,14.2,4.9
27,182014,Bembidion.lampros,0,Coleoptera,WrEN,PL,9,1531,14.2,4.9
28,182014,Bembidion.mannerheimii,0,Coleoptera,WrEN,PL,9,1531,14.2,4.9
29,182014,Bembidion.saxatile,NA,Coleoptera,WrEN,PL,9,1531,14.2,4.9
30,182014,Bisnius.fimetarius,NA,Coleoptera,WrEN,PL,9,1531,14.2,4.9
31,182014,Brachinus.crepitans,0,Coleoptera,WrEN,PL,9,1531,14.2,4.9
32,182014,Calathus.fuscipes,0,Coleoptera,WrEN,PL,9,1531,14.2,4.9
33,182014,Calathus.melanocephalus,1,Coleoptera,WrEN,PL,9,1531,14.2,4.9
34,182014,Calathus.rotundicollis,1,Coleoptera,WrEN,PL,9,1531,14.2,4.9
35,182014,Cantharis.rustica,NA,Coleoptera,WrEN,PL,9,1531,14.2,4.9
36,182014,Carabus.nemoralis,0,Coleoptera,WrEN,PL,9,1531,14.2,4.9
37,182014,Carabus.problematicus,22,Coleoptera,WrEN,PL,9,1531,14.2,4.9
38,182014,Carabus.violaceus,3,Coleoptera,WrEN,PL,9,1531,14.2,4.9
39,182014,Cartodere.nodifer,0,Coleoptera,WrEN,PL,9,1531,14.2,4.9
40,182014,Cassida.flaveola,NA,Coleoptera,WrEN,PL,9,1531,14.2,4.9
41,182014,Catops.morio,NA,Coleoptera,WrEN,PL,9,1531,14.2,4.9
42,182014,Choleva.jeanneli,NA,Coleoptera,WrEN,PL,9,1531,14.2,4.9
43,182014,Choleva.oblonga,NA,Coleoptera,WrEN,PL,9,1531,14.2,4.9
44,182014,Cholevinae..Genus.Catops,NA,Coleoptera,WrEN,PL,9,1531,14.2,4.9
45,182014,Clivina.fossor,0,Coleoptera,WrEN,PL,9,1531,14.2,4.9
46,182014,Cryptophagidae..Genus.Atomaria,NA,Coleoptera,WrEN,PL,9,1531,14.2,4.9
47,182014,Cychrus.caraboides,0,Coleoptera,WrEN,PL,9,1531,14.2,4.9
48,182014,Elaphrus.cupreus,NA,Coleoptera,WrEN,PL,9,1531,14.2,4.9
49,182014,Euophryum.confine,0,Coleoptera,WrEN,PL,9,1531,14.2,4.9
50,182014,Exomias.araneiformis,0,Coleoptera,WrEN,PL,9,1531,14.2,4.9
51,182014,Exomias.pellucidus,NA,Coleoptera,WrEN,PL,9,1531,14.2,4.9
52,182014,Gastrophysa.polygoni,0,Coleoptera,WrEN,PL,9,1531,14.2,4.9
53,182014,Geotrupes.stercorarius,NA,Coleoptera,WrEN,PL,9,1531,14.2,4.9
54,182014,Harpalus.affinis,0,Coleoptera,WrEN,PL,9,1531,14.2,4.9
55,182014,Harpalus.latus,NA,Coleoptera,WrEN,PL,9,1531,14.2,4.9
56,182014,Harpalus.rufipes,1,Coleoptera,WrEN,PL,9,1531,14.2,4.9
57,182014,Helophorus.brevipalpis,NA,Coleoptera,WrEN,PL,9,1531,14.2,4.9
58,182014,Hemicrepidius.hirtus,0,Coleoptera,WrEN,PL,9,1531,14.2,4.9
59,182014,Hypnoidus.riparius,0,Coleoptera,WrEN,PL,9,1531,14.2,4.9
60,182014,Lathrobium.brunnipes,0,Coleoptera,WrEN,PL,9,1531,14.2,4.9
61,182014,Lathrobium.elongatum,0,Coleoptera,WrEN,PL,9,1531,14.2,4.9
62,182014,Lathrobium.fulvipenne,0,Coleoptera,WrEN,PL,9,1531,14.2,4.9
63,182014,Lathrobium.terminatum,0,Coleoptera,WrEN,PL,9,1531,14.2,4.9
64,182014,Leistus.ferrugineus,0,Coleoptera,WrEN,PL,9,1531,14.2,4.9
65,182014,Leistus.fulvibarbis,0,Coleoptera,WrEN,PL,9,1531,14.2,4.9
66,182014,Leistus.rufomarginatus,0,Coleoptera,WrEN,PL,9,1531,14.2,4.9
67,182014,Leistus.spinibarbis,0,Coleoptera,WrEN,PL,9,1531,14.2,4.9
68,182014,Leistus.terminatus,0,Coleoptera,WrEN,PL,9,1531,14.2,4.9
69,182014,Leodidae..Genus.Choleva,NA,Coleoptera,WrEN,PL,9,1531,14.2,4.9
70,182014,Lesteva.longoelytrata,NA,Coleoptera,WrEN,PL,9,1531,14.2,4.9
71,182014,Lesteva.sicula.heeri,0,Coleoptera,WrEN,PL,9,1531,14.2,4.9
72,182014,Longitarsus.brunneus,0,Coleoptera,WrEN,PL,9,1531,14.2,4.9
73,182014,Loricera.pilicornis,6,Coleoptera,WrEN,PL,9,1531,14.2,4.9
74,182014,Megasternum.concinnum,0,Coleoptera,WrEN,PL,9,1531,14.2,4.9
75,182014,Melanotus.villosus,NA,Coleoptera,WrEN,PL,9,1531,14.2,4.9
76,182014,Micrambe.ulicis,NA,Coleoptera,WrEN,PL,9,1531,14.2,4.9
77,182014,Micropeplinae,NA,Coleoptera,WrEN,PL,9,1531,14.2,4.9
78,182014,Nebria.brevicollis,13,Coleoptera,WrEN,PL,9,1531,14.2,4.9
79,182014,Neocrepidodera.ferruginea,NA,Coleoptera,WrEN,PL,9,1531,14.2,4.9
