"","level","site_id","site_area","gap_prop","np","pd","ta","area_mn","area_sd","para_mn","para_sd","ai","cohesion"
"1","landscape","1105056",11.0343634194975,0.112892783447649,95,7626.23424580557,1.2457,0.0131126315789474,0.0432062033620008,1.27153815233973,0.666381490776444,94.6875003459485,97.0343540529262
"2","landscape","1105206",6.32035842199759,0.110151980871357,81,11634.5877621373,0.6962,0.00859506172839506,0.0203637723742101,1.2466485478416,0.612605095199825,92.9452951990596,95.1009250684123
"3","landscape","1105464",11.7319872550026,0.023568044696102,31,11211.5732368897,0.2765,0.00891935483870968,0.0259419277021432,1.19642926652735,0.543519652869594,95.5029206714556,95.6015062536453
"4","landscape","1107477",2.03572273499917,0.00275086577544279,3,53571.4285714286,0.0056,0.00186666666666667,0.000404145188432738,1.30273752012882,0.15922498161653,89.3804112554112,88.8270618321414
"5","landscape","1107675",6.32003183806451,0.0616769044820786,26,6670.08722421755,0.3898,0.0149923076923077,0.0432187729865337,1.35949926080602,0.841015362196426,92.9644783461302,97.9628543327407
"6","landscape","1107677",1.68281191680207,0.0927614063350848,23,14734.1447789878,0.1561,0.00678695652173913,0.00751212984856226,1.12953322856291,0.540378646849979,89.0538684228117,92.807850637638
"7","landscape","1108137",13.0660045550086,0.0736491400985406,57,5923.30873947833,0.9623,0.0168824561403509,0.0436182715761207,1.04689986802892,0.504037498528038,95.0268501269238,97.0563408173991
"8","landscape","1108227",4.40536052979913,0.00653748990694144,11,38194.4444444444,0.0288,0.00261818181818182,0.00197930198899419,1.30127694884033,0.458738082922596,90.1366050649823,87.0916677566551
"9","landscape","1108368",2.11348751000362,0.172605704208479,48,13157.8947368421,0.3648,0.0076,0.0134890657058605,1.27419956799139,0.600717866719221,91.5376426323899,93.8050597502286
"10","landscape","1115432",6.18892701159702,0.0312332007854977,40,20693.2229694775,0.1933,0.0048325,0.00822436615903917,1.39394507055822,0.841717988177141,92.2661328687398,91.3770363299134
"11","landscape","1412786",5.41744719810418,0.0268207505651088,50,34411.5622849277,0.1453,0.002906,0.00827963841269037,1.64675263931178,0.818525665794251,90.4818803215992,91.3651846775421
"12","landscape","1503147",1.09440707499699,0.00831500472529841,9,98901.0989010989,0.0091,0.00101111111111111,0.00057106138996706,1.89708475982986,0.786491681929469,87.9152276295133,78.1891460577199
"13","landscape","182014",1.95831146767361,0.469792479483829,41,4456.52173913043,0.92,0.0224390243902439,0.114900291292165,1.27994676584179,0.706124144697057,94.1740262818438,99.0862629911018
"14","landscape","182458",1.30629751078828,0.145296150710313,24,12644.8893572181,0.1898,0.00790833333333333,0.015653917877884,1.2273860174244,0.612173092563995,88.6703277037336,95.5931127426956
